team_code,team_name,lead_username,lead_name,session_team_id,action
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
"","","","","","created"
