action,bucket,session_id,report_date,facility_name,district_name,disease_name,patient_count
"created","average_range","54","2025-11-29","รพ.สตูล","เมืองสตูล","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-21","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.ควนโดน","ควนโดน","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.ละงู","ละงู","ปวดเมื่อย","2"
"created","average_range","54","2025-11-21","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-26","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-27","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-28","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-29","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-30","รพ.ละงู","ละงู","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-21","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-22","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-23","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-24","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-25","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-26","รพ.มะนัง","มะนัง","ปวดเมื่อย","1"
"created","average_range","54","2025-11-20","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-21","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-22","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-23","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-24","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-25","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-26","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-27","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-28","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-29","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","3"
"created","average_range","54","2025-11-30","รพ.สตูล","เมืองสตูล","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-20","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-21","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-22","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-23","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-24","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-25","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-26","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-27","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","1"
"created","average_range","54","2025-11-28","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","1"
"created","average_range","54","2025-11-29","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","1"
"created","average_range","54","2025-11-30","รพ.ควนโดน","ควนโดน","น้ำกัดเท้า","1"
"created","average_range","54","2025-11-20","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-21","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-22","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-23","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-24","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-25","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","5"
"created","average_range","54","2025-11-26","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-27","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-28","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-29","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-30","รพ.ท่าแพ","ท่าแพ","น้ำกัดเท้า","4"
"created","average_range","54","2025-11-20","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
"created","average_range","54","2025-11-21","รพ.ละงู","ละงู","น้ำกัดเท้า","2"
